1;2018-06-04T22:00:05.70Z;Service started
10105;2018-06-04T23:53:31.79Z;onGpsStatusChangedStatus;8/28
10106;2018-06-04T23:53:31.81Z;onLocationChanged;Location[gps 48,119967,11,571140 hAcc=11 et=+14d14h24m23s125ms alt=574.8096923828125 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10107;2018-06-04T23:53:32.81Z;onLocationChanged;Location[gps 48,119953,11,571130 hAcc=11 et=+14d14h24m24s123ms alt=575.662841796875 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10108;2018-06-04T23:53:32.82Z;onStatusChanged;2
10109;2018-06-04T23:53:32.83Z;onGpsStatusChangedStatus;8/28
10110;2018-06-04T23:53:33.79Z;onGpsStatusChangedStatus;9/28
10111;2018-06-04T23:53:33.82Z;onLocationChanged;Location[gps 48,119941,11,571114 hAcc=11 et=+14d14h24m25s124ms alt=575.9461669921875 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10112;2018-06-04T23:53:33.82Z;onStatusChanged;2
10113;2018-06-04T23:53:34.79Z;onGpsStatusChangedStatus;9/28
10114;2018-06-04T23:53:34.81Z;onLocationChanged;Location[gps 48,119932,11,571100 hAcc=11 et=+14d14h24m26s125ms alt=576.298828125 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10115;2018-06-04T23:53:35.79Z;onGpsStatusChangedStatus;9/28
10116;2018-06-04T23:53:35.82Z;onLocationChanged;Location[gps 48,119928,11,571102 hAcc=11 et=+14d14h24m27s128ms alt=577.1300048828125 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10117;2018-06-04T23:53:35.82Z;onStatusChanged;2
10118;2018-06-04T23:53:36.79Z;onGpsStatusChangedStatus;9/28
10119;2018-06-04T23:53:36.81Z;onLocationChanged;Location[gps 48,119927,11,571108 hAcc=10 et=+14d14h24m28s128ms alt=576.8828125 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10120;2018-06-04T23:53:37.79Z;onGpsStatusChangedStatus;10/28
10121;2018-06-04T23:53:37.82Z;onLocationChanged;Location[gps 48,119923,11,571103 hAcc=9 et=+14d14h24m29s125ms alt=577.283935546875 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10122;2018-06-04T23:53:37.83Z;onStatusChanged;2
10123;2018-06-04T23:53:38.80Z;onGpsStatusChangedStatus;10/28
10124;2018-06-04T23:53:38.82Z;onLocationChanged;Location[gps 48,119926,11,571106 hAcc=9 et=+14d14h24m30s126ms alt=576.7275390625 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10125;2018-06-04T23:53:39.79Z;onGpsStatusChangedStatus;10/28
10126;2018-06-04T23:53:39.81Z;onLocationChanged;Location[gps 48,119925,11,571104 hAcc=10 et=+14d14h24m31s129ms alt=576.753662109375 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10127;2018-06-04T23:53:40.79Z;onGpsStatusChangedStatus;10/28
10128;2018-06-04T23:53:40.82Z;onLocationChanged;Location[gps 48,119924,11,571103 hAcc=9 et=+14d14h24m32s127ms alt=576.764892578125 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10129;2018-06-04T23:53:40.82Z;onStatusChanged;2
10130;2018-06-04T23:53:41.79Z;onGpsStatusChangedStatus;11/28
10131;2018-06-04T23:53:41.81Z;onLocationChanged;Location[gps 48,119924,11,571103 hAcc=10 et=+14d14h24m33s134ms alt=576.772216796875 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10132;2018-06-04T23:53:41.83Z;onStatusChanged;2
10133;2018-06-04T23:53:42.80Z;onGpsStatusChangedStatus;9/20
10134;2018-06-04T23:53:42.82Z;onLocationChanged;Location[gps 48,119924,11,571103 hAcc=10 et=+14d14h24m34s128ms alt=576.7366943359375 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10135;2018-06-04T23:53:42.82Z;onStatusChanged;2
10136;2018-06-04T23:53:43.80Z;onGpsStatusChangedStatus;9/20
10137;2018-06-04T23:53:43.83Z;onLocationChanged;Location[gps 48,119924,11,571103 hAcc=9 et=+14d14h24m35s128ms alt=576.699951171875 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10138;2018-06-04T23:53:43.83Z;onStatusChanged;2
10139;2018-06-04T23:53:44.79Z;onGpsStatusChangedStatus;9/20
10140;2018-06-04T23:53:44.81Z;onLocationChanged;Location[gps 48,119926,11,571104 hAcc=10 et=+14d14h24m36s124ms alt=576.401611328125 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10141;2018-06-04T23:53:45.80Z;onGpsStatusChangedStatus;9/20
10142;2018-06-04T23:53:45.81Z;onLocationChanged;Location[gps 48,119927,11,571105 hAcc=9 et=+14d14h24m37s129ms alt=576.21826171875 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10143;2018-06-04T23:53:46.79Z;onGpsStatusChangedStatus;8/20
10144;2018-06-04T23:53:46.81Z;onLocationChanged;Location[gps 48,119929,11,571107 hAcc=11 et=+14d14h24m38s123ms alt=575.9317626953125 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10145;2018-06-04T23:53:46.82Z;onStatusChanged;2
10146;2018-06-04T23:53:47.79Z;onGpsStatusChangedStatus;10/28
10147;2018-06-04T23:53:47.81Z;onLocationChanged;Location[gps 48,119929,11,571106 hAcc=11 et=+14d14h24m39s124ms alt=575.9599609375 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10148;2018-06-04T23:53:47.82Z;onStatusChanged;2
10149;2018-06-04T23:53:48.79Z;onGpsStatusChangedStatus;9/28
10150;2018-06-04T23:53:48.81Z;onLocationChanged;Location[gps 48,119928,11,571106 hAcc=12 et=+14d14h24m40s122ms alt=576.031494140625 vel=0.0 vAcc=12 sAcc=0 bAcc=??? {Bundle[mParcelledData.dataSize=96]}]
10151;2018-06-04T23:53:48.81Z;onStatusChanged;2
10152;2018-06-04T23:53:49.79Z;onGpsStatusChangedStatus;9/28
